"Sl No","Txn Date","Description","Cheque No","Withdrawal (in Rs.)","Deposits (in Rs.)","Balance (in Rs.)","Page Number","Minus"
"251","30/04/2026","IBNEFT/IDIB/MEDIWAYS","","22,365.00","","2,58,363.58","7","1"
"252","30/04/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","14,523.00","","2,43,840.58","7","1"
"253","30/04/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","9,748.00","","2,34,092.58","7","1"
"254","30/04/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","10,457.00","","2,23,635.58","7","1"
"255","30/04/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","13,614.00","","2,10,021.58","7","1"
"256","30/04/2026","IBNEFT/SBIN/R S PHARMA","","11,503.00","","1,98,518.58","7","1"
"257","30/04/2026","IBNEFT/CBIN/JOHAR BROTHERS","","17,082.00","","1,81,436.58","7","1"
"258","30/04/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","14,818.00","","1,66,618.58","7","1"
"259","30/04/2026","IBNEFT/KKBK/SHIVA REMEDIES","","8,250.00","","1,58,368.58","7","1"
"260","30/04/2026","IBNEFT/PUNB/R P ASSOCIATES","","13,399.00","","1,44,969.58","7","1"
"261","30/04/2026","IBNEFT/IOBA/VAISHNAVIENTERPRISES","","5,364.00","","1,39,605.58","7","1"
"262","30/04/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","8,622.00","","1,30,983.58","7","1"
"263","30/04/2026","IBNEFT/IOBA/DURGAPHARMACEUTICALS","","8,894.00","","1,22,089.58","7","1"
"264","30/04/2026","IBNEFT/CNRB/REGEN PHARMA","","10,558.00","","1,11,531.58","7","1"
"265","30/04/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","27,825.00","","83,706.58","7","1"
"266","30/04/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","10,785.00","","72,921.58","7","1"
"267","30/04/2026","IBNEFT/CNRB/AMAR SALES","","5,767.00","","67,154.58","7","1"
"268","30/04/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","25,772.00","","41,382.58","7","1"
"269","30/04/2026","IBNEFT/KVBL/KRISHANA AND COMPANY","","3,536.00","","37,846.58","7","1"
"270","30/04/2026","IBNEFT/PUNB/BLISS COTTON","","7,624.00","","30,222.58","7","1"
"271","30/04/2026","IBNEFT/PUNB/BLISS COTTON","","3,538.00","","26,684.58","7","1"
"272","30/04/2026","BY CASH-6201- ANIL","","","45,000.00","71,684.58","7","1"
"273","01/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 01-05-2026","","","2,384.15","74,068.73","7","1"
"274","01/05/2026","NEFT/AXNPN12148526826/UTIB/PHONEPELIMITED-PAYMENT","","","40,723.66","1,14,792.39","7","1"
"275","01/05/2026","NEFT/HSBCN12143149635/HSBC/LOVEINSTORESERVICES PR","","","1,750.00","1,16,542.39","8","1"
"276","02/05/2026","NEFT/AXNPN12256575093/UTIB/PHONEPELIMITED-PAYMENT","","","73,160.44","1,89,702.83","8","1"
"277","02/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 02-05-2026","","","2,675.49","1,92,378.32","8","1"
"278","02/05/2026","BY CASH-6201- ANIL","","","35,000.00","2,27,378.32","8","1"
"279","02/05/2026","Gupta Agencies","400799","5,274.00","","2,22,104.32","8","1"
"280","03/05/2026","NEFT/AXNPN12365178873/UTIB/PHONEPELIMITED-PAYMENT","","","77,762.03","2,99,866.35","8","1"
"281","03/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 03-05-2026","","","9,003.49","3,08,869.84","8","1"
"282","04/05/2026","NEFT/AXNPN12473004342/UTIB/PHONEPELIMITED-PAYMENT","","","54,111.67","3,62,981.51","8","1"
"283","04/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 04-05-2026","","","9,005.98","3,71,987.49","8","1"
"284","04/05/2026","BY CASH-6201- ANIL","","","45,000.00","4,16,987.49","8","1"
"285","04/05/2026","KANWAL AGENCIES","400800","12,226.00","","4,04,761.49","8","1"
"286","04/05/2026","AJAY MEDICAL AGENCY","400797","23,530.00","","3,81,231.49","8","1"
"287","04/05/2026","MEDIKING","400790","19,089.00","","3,62,142.49","8","1"
"288","05/05/2026","NEFT/AXNPN12581351499/UTIB/PHONEPELIMITED-PAYMENT","","","64,714.47","4,26,856.96","8","1"
"289","05/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 05-05-2026","","","11,584.58","4,38,441.54","8","1"
"290","05/05/2026","BY CASH-6201-ANIL","","","40,000.00","4,78,441.54","8","1"
"291","05/05/2026","UPI/122641564462/CR/GURCHA/HDFC/gurcharan/Mercha","","","100.00","4,78,541.54","8","1"
"292","05/05/2026","BHAGWATI MEDICAL SU","400798","12,707.00","","4,65,834.54","8","1"
"293","05/05/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","29,048.00","","4,36,786.54","8","1"
"294","05/05/2026","IBNEFT/HDFC/ENKAY AGENCIES","","12,242.00","","4,24,544.54","8","1"
"295","05/05/2026","IBNEFT/PUNB/KAUL AGENCIES","","9,326.00","","4,15,218.54","8","1"
"296","05/05/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","11,573.00","","4,03,645.54","8","1"
"297","05/05/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","6,134.00","","3,97,511.54","8","1"
"298","05/05/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","10,262.00","","3,87,249.54","8","1"
"299","05/05/2026","IBNEFT/HDFC/CITY ENTERPRISES","","9,711.00","","3,77,538.54","8","1"
"300","05/05/2026","IBNEFT/CNRB/KISHORE BROTHERS","","5,899.00","","3,71,639.54","8","1"
"301","05/05/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","14,740.00","","3,56,899.54","8","1"
"302","05/05/2026","IBNEFT/IOBA/JAGAT SINGH AND SONSAGENCIES","","1,693.00","","3,55,206.54","8","1"
"303","05/05/2026","IBNEFT/SBIN/RAMESH AGENCIES","","4,916.00","","3,50,290.54","8","1"
"304","06/05/2026","NEFT/AXNPN12689919388/UTIB/PHONEPELIMITED-PAYMENT","","","47,414.52","3,97,705.06","8","1"
"305","06/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 06-05-2026","","","22,696.58","4,20,401.64","8","1"
"306","06/05/2026","IBNEFT/IDIB/MEDIWAYS","","18,676.00","","4,01,725.64","8","1"
"307","06/05/2026","IBNEFT/SBIN/R S PHARMA","","10,247.00","","3,91,478.64","8","1"
"308","06/05/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","9,122.00","","3,82,356.64","8","1"
"309","06/05/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","6,114.00","","3,76,242.64","8","1"
"310","06/05/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","15,559.00","","3,60,683.64","8","1"
"311","06/05/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","4,308.00","","3,56,375.64","8","1"
"312","06/05/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","7,128.00","","3,49,247.64","8","1"
"313","06/05/2026","IBNEFT/CBIN/JOHAR BROTHERS","","14,188.00","","3,35,059.64","8","1"
"314","06/05/2026","IBNEFT/KKBK/SHIVA REMEDIES","","13,442.00","","3,21,617.64","8","1"
"315","06/05/2026","IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD","","23,188.00","","2,98,429.64","9","1"
"316","06/05/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","27,291.00","","2,71,138.64","9","1"
"317","06/05/2026","IBNEFT/PUNB/BLISS COTTON","","8,933.00","","2,62,205.64","9","1"
"318","06/05/2026","IBNEFT/IOBA/VAISHNAVIENTERPRISES","","2,531.00","","2,59,674.64","9","1"
"319","06/05/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","15,202.00","","2,44,472.64","9","1"
"320","06/05/2026","IBNEFT/KVBL/KRISHANA AND COMPANY","","3,289.00","","2,41,183.64","9","1"
"321","06/05/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","11,986.00","","2,29,197.64","9","1"
"322","06/05/2026","IBNEFT/IOBA/DURGAPHARMACEUTICALS","","6,991.00","","2,22,206.64","9","1"
"323","06/05/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","9,684.00","","2,12,522.64","9","1"
"324","06/05/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","19,336.00","","1,93,186.64","9","1"
"325","06/05/2026","IBNEFT/PUNB/KAUL AGENCIES","","11,191.00","","1,81,995.64","9","1"
"326","06/05/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","11,434.00","","1,70,561.64","9","1"
"327","06/05/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","8,119.00","","1,62,442.64","9","1"
"328","07/05/2026","NEFT/AXNPN12798648590/UTIB/PHONEPELIMITED-PAYMENT","","","65,280.62","2,27,723.26","9","1"
"329","07/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 07-05-2026","","","12,245.63","2,39,968.89","9","1"
"330","07/05/2026","BY CASH-6201- ANIL","","","35,000.00","2,74,968.89","9","1"
"331","07/05/2026","MAHALUXMI SURGICAL","403752","7,526.00","","2,67,442.89","9","1"
"332","08/05/2026","NEFT/AXNPN12807256920/UTIB/PHONEPELIMITED-PAYMENT","","","64,964.96","3,32,407.85","9","1"
"333","08/05/2026","IBNEFT/BARB/SHRI KRISHNAPHARMACY","","33,440.00","","2,98,967.85","9","1"
"334","09/05/2026","NEFT/AXNPN12916164782/UTIB/PHONEPELIMITED-PAYMENT","","","61,847.92","3,60,815.77","9","1"
"335","09/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 09-05-2026","","","4,023.69","3,64,839.46","9","1"
"336","10/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 10-05-2026","","","10,800.84","3,75,640.30","9","1"
"337","10/05/2026","NEFT/AXNPN13024509076/UTIB/PHONEPELIMITED-PAYMENT","","","89,943.70","4,65,584.00","9","1"
"338","10/05/2026","IBNEFT/IOBA/JAGAT SINGH AND SONSAGENCIES","","24,466.00","","4,41,118.00","9","1"
"339","10/05/2026","IBNEFT/PUNB/R P ASSOCIATES","","10,854.00","","4,30,264.00","9","1"
"340","10/05/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","13,794.00","","4,16,470.00","9","1"
"341","10/05/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","5,757.00","","4,10,713.00","9","1"
"342","10/05/2026","IBNEFT/CNRB/KISHORE BROTHERS","","5,958.00","","4,04,755.00","9","1"
"343","10/05/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","24,633.00","","3,80,122.00","9","1"
"344","10/05/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","13,887.00","","3,66,235.00","9","1"
"345","10/05/2026","IBNEFT/HDFC/CITY ENTERPRISES","","13,705.00","","3,52,530.00","9","1"
"346","10/05/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","11,120.00","","3,41,410.00","9","1"
"347","10/05/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","8,330.00","","3,33,080.00","9","1"
"348","10/05/2026","IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD","","17,982.00","","3,15,098.00","9","1"
"349","10/05/2026","IBNEFT/ICIC/U R ENTERPRISES","","2,141.00","","3,12,957.00","9","1"
"350","10/05/2026","IBNEFT/ICIC/U R ENTERPRISES","","9,259.00","","3,03,698.00","9","1"
"351","10/05/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","32,341.00","","2,71,357.00","9","1"
"352","10/05/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","35,414.00","","2,35,943.00","9","1"
"353","10/05/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","25,834.00","","2,10,109.00","10","1"
"354","10/05/2026","IBNEFT/KKBK/LIFE CURE MEDICOSE","","21,226.00","","1,88,883.00","10","1"
"355","10/05/2026","StUBP-204270845/ELECTRICITY BILL","","8,364.00","","1,80,519.00","10","1"
"356","10/05/2026","StUBP-204270901/ELECTRICITY BILL","","814.00","","1,79,705.00","10","1"
"357","10/05/2026","UPI/649603900746/CR/PARDEE/SBIN/798840806/Mercha","","","160.00","1,79,865.00","10","1"
"358","10/05/2026","UPI/122915451901/CR/RAHUL/PSIB/maddykang/Mercha","","","85.00","1,79,950.00","10","1"
"359","10/05/2026","UPI/613002871475/CR/Yuvraj/SBIN/yuvrajoms/Mercha","","","150.00","1,80,100.00","10","1"
"360","10/05/2026","UPI/649608371842/CR/SHIWAN/KKBK/shivaniba/Mercha","","","110.00","1,80,210.00","10","1"
"361","11/05/2026","NEFT/AXNPN13132451022/UTIB/PHONEPELIMITED-PAYMENT","","","51,943.25","2,32,153.25","10","1"
"362","11/05/2026","CTS INWARD CLG3","400795","12,125.00","","2,20,028.25","10","1"
"363","11/05/2026","KANWAL AGENCIES","403753","6,597.00","","2,13,431.25","10","1"
"364","11/05/2026","VINAYAK AGENCIES","403751","6,543.00","","2,06,888.25","10","1"
"365","11/05/2026","UPI/205931132368/CR/REKHA/BKID/978038633/Mercha","","","1,800.00","2,08,688.25","10","1"
"366","12/05/2026","NEFT/AXNPN13241357028/UTIB/PHONEPELIMITED-PAYMENT","","","41,813.17","2,50,501.42","10","1"
"367","12/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 12-05-2026","","","9,264.85","2,59,766.27","10","1"
"368","12/05/2026","BY CASH-6201- ANIL","","","40,000.00","2,99,766.27","10","1"
"369","12/05/2026","SHREE MAHAVIR ENTERP","403755","3,717.00","","2,96,049.27","10","1"
"370","12/05/2026","L T ENTERPRISES","403754","7,125.00","","2,88,924.27","10","1"
"371","12/05/2026","NEFT/HSBCN13246584183/HSBC/LOVEINSTORESERVICES PR","","","284.00","2,89,208.27","10","1"
"372","13/05/2026","NEFT/AXNPN13350047906/UTIB/PHONEPELIMITED-PAYMENT","","","58,200.50","3,47,408.77","10","1"
"373","13/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 13-05-2026","","","7,020.55","3,54,429.32","10","1"
"374","13/05/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","20,775.00","","3,33,654.32","10","1"
"375","13/05/2026","IBNEFT/IDIB/MEDIWAYS","","13,731.00","","3,19,923.32","10","1"
"376","13/05/2026","IBNEFT/SBIN/R S PHARMA","","15,419.00","","3,04,504.32","10","1"
"377","13/05/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","11,617.00","","2,92,887.32","10","1"
"378","13/05/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","12,106.00","","2,80,781.32","10","1"
"379","13/05/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","9,686.00","","2,71,095.32","10","1"
"380","13/05/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","11,096.00","","2,59,999.32","10","1"
"381","13/05/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","4,878.00","","2,55,121.32","10","1"
"382","13/05/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","13,514.00","","2,41,607.32","10","1"
"383","13/05/2026","IBNEFT/PUNB/R P ASSOCIATES","","14,915.00","","2,26,692.32","10","1"
"384","13/05/2026","IBNEFT/KKBK/SHIVA REMEDIES","","5,826.00","","2,20,866.32","10","1"
"385","13/05/2026","IBNEFT/SBIN/RAMESH AGENCIES","","6,927.00","","2,13,939.32","10","1"
"386","13/05/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","11,830.00","","2,02,109.32","10","1"
"387","13/05/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","23,675.00","","1,78,434.32","10","1"
"388","13/05/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","17,920.00","","1,60,514.32","10","1"
"389","13/05/2026","IBNEFT/CNRB/REGEN PHARMA","","4,073.00","","1,56,441.32","10","1"
"390","13/05/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","28,497.00","","1,27,944.32","10","1"
"391","13/05/2026","IBNEFT/PUNB/BLISS COTTON","","10,792.00","","1,17,152.32","10","1"
"392","13/05/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","11,842.00","","1,05,310.32","10","1"
"393","13/05/2026","IBNEFT/HDFC/ENKAY AGENCIES","","11,748.00","","93,562.32","10","1"
"394","13/05/2026","IBNEFT/PUNB/KAUL AGENCIES","","13,900.00","","79,662.32","10","1"
"395","13/05/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","6,732.00","","72,930.32","10","1"
"396","13/05/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","5,949.00","","66,981.32","11","1"
"397","13/05/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","21,104.00","","45,877.32","11","1"
"398","13/05/2026","IBNEFT/PUNB/ASHOK KUMAR GUPTA","","14,000.00","","31,877.32","11","1"
"399","14/05/2026","NEFT/AXNPN13458511615/UTIB/PHONEPELIMITED-PAYMENT","","","55,119.69","86,997.01","11","1"
"400","14/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 14-05-2026","","","232.80","87,229.81","11","1"
"401","14/05/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","46,059.00","","41,170.81","11","1"
"402","14/05/2026","SANTOSH ENTERPRISES","403756","7,709.00","","33,461.81","11","1"
"403","14/05/2026","MAHALUXMI SURGICAL","403757","3,987.00","","29,474.81","11","1"
"404","15/05/2026","NEFT/AXNPN13567221402/UTIB/PHONEPELIMITED-PAYMENT","","","46,474.51","75,949.32","11","1"
"405","15/05/2026","BY CASH-6201- ANIL","","","25,000.00","1,00,949.32","11","1"
"406","16/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 16-05-2026","","","240.00","1,01,189.32","11","1"
"407","16/05/2026","NEFT/AXNPN13675739717/UTIB/PHONEPELIMITED-PAYMENT","","","57,909.92","1,59,099.24","11","1"
"408","16/05/2026","BY CASH-6201- ANIL","","","40,000.00","1,99,099.24","11","1"
"409","16/05/2026","MEDICOS HEALTHCARE U","403760","34,460.00","","1,64,639.24","11","1"
"410","16/05/2026","VAISHNAVI ENTERPRISE","403761","6,915.00","","1,57,724.24","11","1"
"411","17/05/2026","NEFT/AXNPN13784546984/UTIB/PHONEPELIMITED-PAYMENT","","","54,423.87","2,12,148.11","11","1"
"412","17/05/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","12,147.00","","2,00,001.11","11","1"
"413","17/05/2026","IBNEFT/HDFC/CITY ENTERPRISES","","23,219.00","","1,76,782.11","11","1"
"414","17/05/2026","IBNEFT/CNRB/KISHORE BROTHERS","","10,782.00","","1,66,000.11","11","1"
"415","17/05/2026","IBNEFT/CNRB/MITTAL ENTERPRISES","","12,399.00","","1,53,601.11","11","1"
"416","17/05/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","11,382.00","","1,42,219.11","11","1"
"417","17/05/2026","IBNEFT/KKBK/SHIVA REMEDIES","","4,088.00","","1,38,131.11","11","1"
"418","17/05/2026","IBNEFT/PUNB/BLISS COTTON","","12,681.00","","1,25,450.11","11","1"
"419","18/05/2026","NEFT/AXNPN13892580570/UTIB/PHONEPELIMITED-PAYMENT","","","55,133.64","1,80,583.75","11","1"
"420","18/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 18-05-2026","","","20,287.37","2,00,871.12","11","1"
"421","18/05/2026","BY CASH-6201- ANIL","","","30,000.00","2,30,871.12","11","1"
"422","18/05/2026","IBNEFT/PUNB/R P ASSOCIATES","","13,354.00","","2,17,517.12","11","1"
"423","18/05/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","11,944.00","","2,05,573.12","11","1"
"424","18/05/2026","IBNEFT/CBIN/JOHAR BROTHERS","","13,098.00","","1,92,475.12","11","1"
"425","18/05/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","5,673.00","","1,86,802.12","11","1"
"426","18/05/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","13,655.00","","1,73,147.12","11","1"
"427","18/05/2026","IBNEFT/SBIN/R S PHARMA","","14,234.00","","1,58,913.12","11","1"
"428","18/05/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","19,554.00","","1,39,359.12","11","1"
"429","18/05/2026","IBNEFT/IDIB/MEDIWAYS","","19,956.00","","1,19,403.12","11","1"
"430","18/05/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","8,279.00","","1,11,124.12","11","1"
"431","18/05/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","42,211.00","","68,913.12","11","1"
"432","18/05/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","23,648.00","","45,265.12","11","1"
"433","18/05/2026","StUBP-204603447/BSNL BILL","","129.00","","45,136.12","11","1"
"434","18/05/2026","StUBP-204603627/BSNL bill","","352.00","","44,784.12","11","1"
"435","18/05/2026","NATIONAL ENTERPRISES","403762","8,827.00","","35,957.12","11","1"
"436","19/05/2026","NEFT/AXNPN13901340524/UTIB/PHONEPELIMITED-PAYMENT","","","66,892.08","1,02,849.20","11","1"
"437","19/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 19-05-2026","","","4,532.62","1,07,381.82","12","1"
"438","19/05/2026","BY CASH-6201- ANIL","","","25,000.00","1,32,381.82","12","1"
"439","19/05/2026","IBNEFT/PUNB/KANSAL MEDICAL HALL","","22,256.00","","1,10,125.82","12","1"
"440","19/05/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","10,011.00","","1,00,114.82","12","1"
"441","19/05/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","24,954.00","","75,160.82","12","1"
"442","19/05/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","22,382.00","","52,778.82","12","1"
"443","19/05/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","15,758.00","","37,020.82","12","1"
"444","19/05/2026","IBNEFT/KVBL/KRISHANA AND COMPANY","","8,210.00","","28,810.82","12","1"
"445","19/05/2026","IBNEFT/BARB/SHRI KRISHNAPHARMACY","","26,083.00","","2,727.82","12","1"
"446","19/05/2026","Medisurge","403763","20,111.00","","-17,383.18","12","1"
"447","19/05/2026","KRISHNA AGENCIES","403764","6,497.00","","-23,880.18","12","1"
"448","20/05/2026","NEFT/AXNPN14009685434/UTIB/PHONEPELIMITED-PAYMENT","","","55,176.02","31,295.84","12","1"
"449","20/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 20-05-2026","","","7,841.21","39,137.05","12","1"
"450","21/05/2026","BY CASH-6201- ANIL","","","25,000.00","64,137.05","12","1"
"451","21/05/2026","IBNEFT/UBIN/ANIL SHARMA","","12,000.00","","52,137.05","12","1"
"452","21/05/2026","IBNEFT/BARB/ANIL MEDICAL HALL","","18,000.00","","34,137.05","12","1"
"453","21/05/2026","StUBP-204735605/BSNL BILL","","619.00","","33,518.05","12","1"
"454","21/05/2026","HARSHIT ENTERPRISES","403766","14,568.00","","18,950.05","12","1"
"455","22/05/2026","620127110000062:Int.Coll:22-04-2026to 21-05-2026","","6.00","","18,944.05","12","1"
"456","22/05/2026","NEFT/AXNPN14226863633/UTIB/PHONEPELIMITED-PAYMENT","","","61,250.13","80,194.18","12","1"
"457","22/05/2026","BY CASH-6201- ANIL","","","25,000.00","1,05,194.18","12","1"
"458","22/05/2026","SANTOSH ENTERPRISES","403765","5,291.00","","99,903.18","12","1"
"459","23/05/2026","NEFT/AXNPN14337904876/UTIB/PHONEPELIMITED-PAYMENT","","","48,648.01","1,48,551.19","12","1"
"460","24/05/2026","NEFT/AXNPN14446411130/UTIB/PHONEPELIMITED-PAYMENT","","","58,592.11","2,07,143.30","12","1"
"461","24/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 24-05-2026","","","24,574.19","2,31,717.49","12","1"
"462","24/05/2026","StUBP-204834694/PROPERTY TAX","","8,765.53","","2,22,951.96","12","1"
"463","24/05/2026","IBNEFT/PUNB/KAUL AGENCIES","","9,575.00","","2,13,376.96","12","1"
"464","24/05/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","17,931.00","","1,95,445.96","12","1"
"465","24/05/2026","IBNEFT/HDFC/ENKAY AGENCIES","","15,597.00","","1,79,848.96","12","1"
"466","24/05/2026","IBNEFT/KVBL/KRISHANA AND COMPANY","","2,365.00","","1,77,483.96","12","1"
"467","24/05/2026","IBNEFT/PUNB/J K SURGICAL OFINDIA","","8,906.00","","1,68,577.96","12","1"
"468","24/05/2026","IBNEFT/ICIC/LUTHRA MEDICALAGENCIES","","17,100.00","","1,51,477.96","12","1"
"469","24/05/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","15,849.00","","1,35,628.96","12","1"
"470","24/05/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","5,433.00","","1,30,195.96","12","1"
"471","25/05/2026","NEFT/AXNPN14554287540/UTIB/PHONEPELIMITED-PAYMENT","","","41,613.94","1,71,809.90","12","1"
"472","25/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 25-05-2026","","","19,329.20","1,91,139.10","12","1"
"473","25/05/2026","Cash dep at R6201030","","","25,000.00","2,16,139.10","12","1"
"474","25/05/2026","THE DISTRIBUTION COM","403768","5,391.00","","2,10,748.10","12","1"
"475","25/05/2026","KANWAL AGENCIES","403771","11,121.00","","1,99,627.10","12","1"
"476","26/05/2026","NEFT/AXNPN14663024480/UTIB/PHONEPELIMITED-PAYMENT","","","65,810.30","2,65,437.40","12","1"
"477","26/05/2026","EDCPOS Credit / ANIL MEDICAL HA/ 26-05-2026","","","3,847.70","2,69,285.10","13","1"
"478","26/05/2026","NEFT/HDFCH01017706491/HDFC/THENEW INDIA ASSURANCE","","","1,675.00","2,70,960.10","13","1"
"479","26/05/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","11,813.00","","2,59,147.10","13","1"
"480","26/05/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","21,820.00","","2,37,327.10","13","1"
"481","26/05/2026","IBNEFT/HDFC/ENKAY AGENCIES","","10,093.00","","2,27,234.10","13","1"
"482","26/05/2026","IBNEFT/IDIB/MEDIWAYS","","17,232.00","","2,10,002.10","13","1"
"483","26/05/2026","IBNEFT/SBIN/R S PHARMA","","19,510.00","","1,90,492.10","13","1"
"484","26/05/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","9,668.00","","1,80,824.10","13","1"
"485","26/05/2026","IBNEFT/PUNB/BLISS COTTON","","12,241.00","","1,68,583.10","13","1"
"486","26/05/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","12,851.00","","1,55,732.10","13","1"
"487","26/05/2026","IBNEFT/PUNB/R P ASSOCIATES","","5,811.00","","1,49,921.10","13","1"
"488","26/05/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","10,115.00","","1,39,806.10","13","1"
"489","26/05/2026","IBNEFT/KKBK/SHIVA REMEDIES","","3,097.00","","1,36,709.10","13","1"
"490","26/05/2026","IBNEFT/KKBK/RAKESH ENTERPRISES","","7,694.00","","1,29,015.10","13","1"
"491","26/05/2026","IBNEFT/SBIN/MEGHA ENTERPRISES","","16,533.00","","1,12,482.10","13","1"
"492","26/05/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","36,357.00","","76,125.10","13","1"
"493","26/05/2026","IBNEFT/KKBK/NATIONAL TRADINGAGENCIES","","14,981.00","","61,144.10","13","1"
